Идентификатор События;Тип События;Идентификатор Пользователя;Дата/Время;Источник ;Тип Устройства;Успешный ли звонок;Кол-во Просмотренных Страниц;Сумма заказа
3e0c2ec3-98fe-4958-90c3-3351705e88bc;2;86e76082-959d-47ac-9bf7-eea7917f585f;2024-03-22 21:50:00;Яндекс;;False;;
cf3d2530-8624-456c-89ed-d95987c99236;1;88257dd8-d94e-4093-b099-64ef50d110d1;2024-03-22 21:50:00;Фейсбук;Десктоп;;31;
cdbebc30-cc23-458a-8cfe-ad435d92f6f2;2;88257dd8-d94e-4093-b099-64ef50d110d1;2024-03-22 21:50:00;Инстаграмм;;True;;
1947b14d-6dcf-4627-8827-5850f3049df0;3;88257dd8-d94e-4093-b099-64ef50d110d1;2024-03-22 21:50:00;;;;;1161762
127152eb-8b61-41df-a897-859528021c60;1;ac956b91-ce6e-4679-ba76-531ce382e182;2024-03-22 21:50:00;Яндекс;Планшет;;60;
32f262a9-e90c-409c-a9e1-54354619b400;1;a9b2ac49-3c06-4853-8999-1f8d9eb90c8a;2024-03-22 21:50:00;Яндекс;Планшет;;92;
5961471d-2c29-40dc-bc07-85612c20e342;1;094dc7de-bd0a-4d94-a28b-057312ea0129;2024-03-22 21:50:00;Фейсбук;Телефон;;4;
770c91c7-4fb8-493c-8532-29f6d423a1fe;1;d5dd90f3-a9f7-4d0b-a45b-b1818ec026f8;2024-03-22 21:50:00;Гугл;Десктоп;;68;
f9f26304-9b2b-4ecd-9cba-72d7bfc2d103;2;d5dd90f3-a9f7-4d0b-a45b-b1818ec026f8;2024-03-22 21:50:00;Опера;;False;;
2b3301cf-fa5d-4140-b67b-153a8e52adeb;1;4bbc18fb-6e21-4c05-af75-2990b8568876;2024-03-22 21:50:00;Опера;Десктоп;;42;
95d9be68-52ec-4ece-aa8c-33f3404f98a7;2;4bbc18fb-6e21-4c05-af75-2990b8568876;2024-03-22 21:50:00;Яндекс;;False;;
6a396b68-aa4d-42dd-ba5b-7d6bcb94ef8b;1;1ec1a9cc-974b-4426-a349-1866440832cf;2024-03-22 21:50:00;Фейсбук;Десктоп;;11;
b69dfcae-1d1a-45d7-af3e-207eac0b5a43;1;0fd70794-f364-4629-9bbf-cc22474534fe;2024-03-22 21:50:00;Фейсбук;Телефон;;42;
2fcf46cb-5579-4006-b86e-b2453340d95d;2;0fd70794-f364-4629-9bbf-cc22474534fe;2024-03-22 21:50:00;Гугл;;True;;
f2c497b5-604e-4525-87a9-016b3d8fbc02;3;0fd70794-f364-4629-9bbf-cc22474534fe;2024-03-22 21:50:00;;;;;7682982
90f2f151-522a-4f8b-8ba1-c65bff95d9dc;4;0fd70794-f364-4629-9bbf-cc22474534fe;2024-03-22 21:50:00;;;;;8139644
cb792860-a053-46f2-8dff-c216bbfb9bb9;1;60318696-b11d-4e7f-95d0-85a86a678e70;2024-03-22 21:50:00;Опера;Десктоп;;6;
bf981d86-8f50-47b3-8747-30abc3fccf83;2;60318696-b11d-4e7f-95d0-85a86a678e70;2024-03-22 21:50:00;Гугл;;True;;
e3d9fe34-32c3-4108-ba84-8620ca6c962b;3;60318696-b11d-4e7f-95d0-85a86a678e70;2024-03-22 21:50:00;;;;;6023495
3bdd07dc-5ec4-4eda-b48a-a711436ed45f;4;60318696-b11d-4e7f-95d0-85a86a678e70;2024-03-22 21:50:00;;;;;7703303
5aa31776-b2ae-4eac-b7cd-a1f2609e0a19;1;a0287360-aa49-48c8-ad99-6329c3e0e164;2024-03-22 21:50:00;Опера;Телефон;;69;
42cbcab4-a7e1-4b8a-a3a1-14580f1e9bfe;2;a0287360-aa49-48c8-ad99-6329c3e0e164;2024-03-22 21:50:00;Яндекс;;False;;
cadcfe2f-26fb-4631-9ef9-510d9c082cc9;1;55155da9-9b8e-4c59-8bcc-f3b4adf07fe3;2024-03-22 21:50:00;Яндекс;Телефон;;40;
e9c892ba-1e19-4314-92bb-fc3ef8438f39;1;41d99ff5-cc1a-4390-8686-e0d70fd7cddb;2024-03-22 21:50:00;Опера;Планшет;;30;
8e82eb9a-2fce-45cf-ad20-1f1d98704449;2;41d99ff5-cc1a-4390-8686-e0d70fd7cddb;2024-03-22 21:50:00;Опера;;False;;
1d2e2eb4-2c27-46b0-b051-0ab841df9b39;1;0cbcec1a-ee94-41ea-8818-5f4032b3b073;2024-03-22 21:50:00;Гугл;Телефон;;24;
e5d9a477-fd14-4c54-a8c1-d9a0c5f9b7dd;1;ff7f55dd-9bcd-45ae-b1cc-537e96947beb;2024-03-22 21:50:00;Гугл;Планшет;;3;
b53dbf6b-eb60-4494-a9cc-3afb6cc0ac63;2;ff7f55dd-9bcd-45ae-b1cc-537e96947beb;2024-03-22 21:50:00;Инстаграмм;;True;;
e694177c-0084-4759-ab89-74d0f492cc1c;3;ff7f55dd-9bcd-45ae-b1cc-537e96947beb;2024-03-22 21:50:00;;;;;3553468
6764604c-ffe1-4a01-868a-9f9883a795c0;4;ff7f55dd-9bcd-45ae-b1cc-537e96947beb;2024-03-22 21:50:00;;;;;4739921
8b362f8e-b8a5-47ad-8d59-9e0d0106827e;1;86415601-f428-4891-a204-a38939e79ce0;2024-03-22 21:50:00;Инстаграмм;Телефон;;45;
5d3be1bd-aa78-4cb8-b586-6a2723241874;2;86415601-f428-4891-a204-a38939e79ce0;2024-03-22 21:50:00;Фейсбук;;False;;
e56e12c4-b118-4d7b-8b8b-0116ea14e744;1;eced20d6-82ac-471f-b916-eb8ab0e2517f;2024-03-22 21:50:00;Опера;Десктоп;;55;
30419f08-148f-42a8-a884-220cc4d1a72a;2;eced20d6-82ac-471f-b916-eb8ab0e2517f;2024-03-22 21:50:00;Опера;;True;;
3051142c-61ca-4875-84df-0df36b808fa2;3;eced20d6-82ac-471f-b916-eb8ab0e2517f;2024-03-22 21:50:00;;;;;8668047
8d3ec7ea-309e-4c5b-9c6b-99cf3b1eff57;4;eced20d6-82ac-471f-b916-eb8ab0e2517f;2024-03-22 21:50:00;;;;;7990620
2de9f0d2-e7af-46ab-ac5d-89715d7ed4f5;1;a7658ea6-5627-4ca2-9dca-e13f651d8f36;2024-03-22 21:50:00;Фейсбук;Десктоп;;100;
624859e9-4278-4b13-bfab-488171ba52be;2;a7658ea6-5627-4ca2-9dca-e13f651d8f36;2024-03-22 21:50:00;Фейсбук;;True;;
77164780-58c2-45a1-bc69-82fac11b2c9e;3;a7658ea6-5627-4ca2-9dca-e13f651d8f36;2024-03-22 21:50:00;;;;;8018840
00265c91-939f-4199-b72a-e35d85e2ad10;4;a7658ea6-5627-4ca2-9dca-e13f651d8f36;2024-03-22 21:50:00;;;;;8582820
5fd0e53e-243c-4b0f-98e8-22b59a747603;1;578221a2-8215-4918-8711-1546230776a3;2024-03-22 21:50:00;Инстаграмм;Планшет;;26;
9ec0e55b-e0f7-448f-b5a0-afbfe4fe09ef;2;578221a2-8215-4918-8711-1546230776a3;2024-03-22 21:50:00;Фейсбук;;True;;
98d629a8-72ec-40d2-b13d-4d9b939fb7b1;3;578221a2-8215-4918-8711-1546230776a3;2024-03-22 21:50:00;;;;;526442
f40cf49d-ab4e-4a92-8c62-565e90c6778b;4;578221a2-8215-4918-8711-1546230776a3;2024-03-22 21:50:00;;;;;5921517
925c39bc-f470-49c0-85e8-725c66396b01;1;c73099d1-dc5d-4c3b-a094-258a4db0a131;2024-03-22 21:50:00;Инстаграмм;Телефон;;44;
26f27847-cb36-4e34-9659-9ed2ea72179f;1;bdc66a9a-b6e2-471c-85b8-23c9340dd4a9;2024-03-22 21:50:00;Гугл;Планшет;;50;
68744f44-2996-418c-98d4-5edfcdb3eab4;2;bdc66a9a-b6e2-471c-85b8-23c9340dd4a9;2024-03-22 21:50:00;Инстаграмм;;True;;
06d7eb6e-7b8d-4596-8602-78a8ad08f2b9;3;bdc66a9a-b6e2-471c-85b8-23c9340dd4a9;2024-03-22 21:50:00;;;;;943100
1f62bec1-1823-4797-8c37-7af02aaaaa94;1;317104f4-941e-44b6-bc30-c00148113031;2024-03-22 21:50:00;Гугл;Планшет;;94;
6ed801fc-ed3f-4389-838b-7e025b342508;2;317104f4-941e-44b6-bc30-c00148113031;2024-03-22 21:50:00;Яндекс;;False;;
ea4175fa-31dd-4ed6-af3b-34f6751d45e4;1;090c90ae-f48e-451e-b498-12dab4cd84a1;2024-03-22 21:50:00;Фейсбук;Десктоп;;99;
b9f74b0f-5171-4411-b213-591dee2672bc;2;090c90ae-f48e-451e-b498-12dab4cd84a1;2024-03-22 21:50:00;Инстаграмм;;True;;
fffef3d8-e0e2-4d38-a635-ab780a31bd7f;3;090c90ae-f48e-451e-b498-12dab4cd84a1;2024-03-22 21:50:00;;;;;9414310
c665fb71-6b92-4d0b-bcf7-fec1334648e3;1;3e9e5987-1ed9-4b8e-8220-9736cc25b201;2024-03-22 21:50:00;Фейсбук;Планшет;;31;
665d7cb5-b7de-429a-85eb-178f741b77f1;1;8e9a8ec3-c984-4e1a-9287-08bdacfaaf45;2024-03-22 21:50:00;Инстаграмм;Телефон;;77;
6da700ea-1305-4314-9d94-625f2a871c0c;2;8e9a8ec3-c984-4e1a-9287-08bdacfaaf45;2024-03-22 21:50:00;Гугл;;False;;
7dfcc2c4-474f-48b8-ab66-aa72892c5c85;1;813d53fc-eea3-4318-be58-b9cc4b4cd4cb;2024-03-22 21:50:00;Опера;Планшет;;83;
d75f8c8b-19b8-43fa-8da2-4b65eac521e8;2;813d53fc-eea3-4318-be58-b9cc4b4cd4cb;2024-03-22 21:50:00;Опера;;True;;
fc27cd65-829b-40f3-a995-7782ab43de3a;3;813d53fc-eea3-4318-be58-b9cc4b4cd4cb;2024-03-22 21:50:00;;;;;8075205
a396e53c-2dee-467a-80a5-bf685b5edad8;1;3c0834c3-d244-4393-a330-98e74c30217f;2024-03-22 21:50:00;Инстаграмм;Планшет;;17;
9b5b8e95-7cc0-4efd-968e-aab20a07a878;2;3c0834c3-d244-4393-a330-98e74c30217f;2024-03-22 21:50:00;Яндекс;;True;;
dd701b96-5180-4420-8a8c-d33db863768a;3;3c0834c3-d244-4393-a330-98e74c30217f;2024-03-22 21:50:00;;;;;9248824
a43f4f29-291e-4656-9630-0f7ad956a29f;1;99aaf330-b1be-47e8-9c39-485353d34c96;2024-03-22 21:50:00;Фейсбук;Телефон;;61;
2c191b16-ad32-4856-b4aa-22c7320b9055;1;d0aebf6f-21b0-4da9-ab73-10fde4ea929f;2024-03-22 21:50:00;Гугл;Планшет;;88;
dd8f20f0-0929-4e30-b6ee-63b2a7b55a6c;2;d0aebf6f-21b0-4da9-ab73-10fde4ea929f;2024-03-22 21:50:00;Фейсбук;;True;;
01a3930f-55a2-4aa4-846d-e0b9f8849f81;3;d0aebf6f-21b0-4da9-ab73-10fde4ea929f;2024-03-22 21:50:00;;;;;7271892
60b15a82-417e-4ef4-aa53-6b4483dbf1c3;1;1364d130-f77e-4a37-a96b-de116c43d59f;2024-03-22 21:50:00;Фейсбук;Планшет;;47;
bf44d76a-6d71-485d-b20f-6636cc73df03;2;1364d130-f77e-4a37-a96b-de116c43d59f;2024-03-22 21:50:00;Опера;;True;;
87d1707f-dd63-470a-857b-0b37e41da2d4;3;1364d130-f77e-4a37-a96b-de116c43d59f;2024-03-22 21:50:00;;;;;7372424
be1331ef-f4f1-42b0-8d95-1aade1784e9e;1;d51cae06-308a-475f-a158-b29d93c5d1fc;2024-03-22 21:50:00;Гугл;Планшет;;68;
25398eae-3523-4570-8731-59e0796ef529;1;1198bd02-d046-4e35-b667-405d01729a70;2024-03-22 21:50:00;Яндекс;Телефон;;5;
acdcf408-c45b-4440-81ca-f8ab5a5d8940;1;1ecc3b9b-548b-4f35-9f5a-67e284c22c8a;2024-03-22 21:50:00;Гугл;Десктоп;;69;
26b1479a-6063-4465-958a-7c6367ee8a49;1;3e52c8c6-6a59-4732-a7b1-9e0671a44283;2024-03-22 21:50:00;Фейсбук;Планшет;;33;
c64b06f6-f882-4260-889f-88f2927ac0e3;2;3e52c8c6-6a59-4732-a7b1-9e0671a44283;2024-03-22 21:50:00;Опера;;False;;
66398830-3c97-4b3f-93e8-c356ded28440;1;abab66e3-978b-4b4e-93b3-a34125ce4d38;2024-03-22 21:50:00;Фейсбук;Телефон;;32;
41432c59-24f6-43c9-857f-344f8f749577;1;1fb15821-e8a8-48ac-8589-e4125feef6c4;2024-03-22 21:50:00;Опера;Десктоп;;74;
7c88a266-6c8b-41bc-a523-75e1b6f60c85;1;eb1af696-82a6-450e-b40a-5597225495b4;2024-03-22 21:50:00;Инстаграмм;Планшет;;35;
1b2c9f18-85ff-44d4-ab84-1a837b4ddee8;2;eb1af696-82a6-450e-b40a-5597225495b4;2024-03-22 21:50:00;Гугл;;True;;
8aad0322-8633-4f02-a616-1c15d87ed1df;3;eb1af696-82a6-450e-b40a-5597225495b4;2024-03-22 21:50:00;;;;;5633537
39a6985b-c578-476f-9df5-c24d093f99d8;1;ca447c72-af91-4eb5-8adb-c1f2d44700b1;2024-03-22 21:50:00;Яндекс;Десктоп;;58;
d9c19a2f-9ee1-4209-b83d-9f1564db501e;2;ca447c72-af91-4eb5-8adb-c1f2d44700b1;2024-03-22 21:50:00;Инстаграмм;;False;;
dca463e1-4533-42b4-bf69-ec4d9701f6de;1;980d5d5b-31ea-44d4-be2a-53aed0ae0102;2024-03-22 21:50:00;Фейсбук;Телефон;;10;
3db6e2ae-e383-43e1-9445-0d003d4bfe8d;2;980d5d5b-31ea-44d4-be2a-53aed0ae0102;2024-03-22 21:50:00;Инстаграмм;;False;;
2985ff86-1604-4579-b072-b6bd829c5fc2;1;78e4c110-dabd-444b-85a5-28845ff72679;2024-03-22 21:50:00;Яндекс;Телефон;;34;
3699d4ab-5455-4361-b421-6f9f58f046d2;2;78e4c110-dabd-444b-85a5-28845ff72679;2024-03-22 21:50:00;Гугл;;True;;
9ea5a73a-5f13-4e26-93c0-53c3951bfee4;3;78e4c110-dabd-444b-85a5-28845ff72679;2024-03-22 21:50:00;;;;;271165
8476509e-3f74-41dc-8924-0a52c1d1150e;1;e8353c22-3370-4e62-9e14-89f20c752e45;2024-03-22 21:50:00;Гугл;Телефон;;52;
791c1399-40c7-4367-a53c-ca4d4329926a;2;e8353c22-3370-4e62-9e14-89f20c752e45;2024-03-22 21:50:00;Гугл;;True;;
3529dd26-8fa7-41b8-a6db-3c83a7776f5a;3;e8353c22-3370-4e62-9e14-89f20c752e45;2024-03-22 21:50:00;;;;;9593819
be8ca152-7927-4308-9c10-dbc53201baac;4;e8353c22-3370-4e62-9e14-89f20c752e45;2024-03-22 21:50:00;;;;;2484745
79d31c7c-fad9-488f-9979-e74faa3d8145;1;e4963f2d-da7e-4028-a610-a2bbf227086c;2024-03-22 21:50:00;Инстаграмм;Планшет;;16;
1fb99cb0-cec2-4929-831c-1c2a94747d09;2;e4963f2d-da7e-4028-a610-a2bbf227086c;2024-03-22 21:50:00;Яндекс;;False;;
703103eb-fd4c-4b0d-9279-1da7592aeae7;1;d9f14adc-2aee-4a81-bf9b-d1da795bb3de;2024-03-22 21:50:00;Яндекс;Десктоп;;86;
9363762f-db54-4825-8088-b4140377a48f;2;d9f14adc-2aee-4a81-bf9b-d1da795bb3de;2024-03-22 21:50:00;Опера;;False;;
aa146406-248f-4d21-abc1-9aa601c310eb;1;a71107ae-bbe2-490a-9310-b0e7599dbb3f;2024-03-22 21:50:00;Фейсбук;Десктоп;;44;
c852b052-bbbe-4ad0-b548-80fc59db91d8;2;a71107ae-bbe2-490a-9310-b0e7599dbb3f;2024-03-22 21:50:00;Опера;;True;;
ff72a6f8-8e65-4921-b9fa-9df8c0dfb532;3;a71107ae-bbe2-490a-9310-b0e7599dbb3f;2024-03-22 21:50:00;;;;;5593558
adc46d82-3c21-4a61-8653-d54ad0388c57;4;a71107ae-bbe2-490a-9310-b0e7599dbb3f;2024-03-22 21:50:00;;;;;9844320
826bd43c-c1d8-47a4-82a0-20239b65f4c8;1;6aa0305a-ab36-45c9-9328-b3c559236c8a;2024-03-22 21:50:00;Фейсбук;Десктоп;;88;
9777f650-7e0c-4969-a061-b12e1dd2253d;2;6aa0305a-ab36-45c9-9328-b3c559236c8a;2024-03-22 21:50:00;Гугл;;True;;
9b1f36db-0c9b-46d5-aa60-2ea48b022c63;3;6aa0305a-ab36-45c9-9328-b3c559236c8a;2024-03-22 21:50:00;;;;;3884627
a0069492-5c01-41fa-8c3c-ebb5abac2e32;1;984715dd-c68b-4499-89e0-80e0850c5c0d;2024-03-22 21:50:00;Яндекс;Телефон;;12;
043a661b-b1f3-43d9-b4e4-3ab197999d59;2;984715dd-c68b-4499-89e0-80e0850c5c0d;2024-03-22 21:50:00;Фейсбук;;True;;
238e12d8-2677-4284-9e49-5757d8351703;3;984715dd-c68b-4499-89e0-80e0850c5c0d;2024-03-22 21:50:00;;;;;6461749
b3063b31-aacd-40ae-b15c-e1d2df82f046;4;984715dd-c68b-4499-89e0-80e0850c5c0d;2024-03-22 21:50:00;;;;;6145094
31a766e9-1607-4e5e-a34b-52e8b573acea;1;97e0bc13-2fee-431e-8330-b99825016ad8;2024-03-22 21:50:00;Яндекс;Планшет;;10;
d2b46f3f-b2cb-4d84-be4c-389c011f26fa;2;97e0bc13-2fee-431e-8330-b99825016ad8;2024-03-22 21:50:00;Инстаграмм;;True;;
82d295ce-0113-4284-b792-4878bca29b88;3;97e0bc13-2fee-431e-8330-b99825016ad8;2024-03-22 21:50:00;;;;;1705887
eb71e597-14d7-4d58-a506-a0075855d4f8;1;27096b45-c662-4ea1-8d6e-9c070ab5fffb;2024-03-22 21:50:00;Яндекс;Десктоп;;82;
048c3eae-9a69-4035-8f42-cae1bfb6559c;2;27096b45-c662-4ea1-8d6e-9c070ab5fffb;2024-03-22 21:50:00;Яндекс;;True;;
4cc75dee-6478-4db5-b565-c02c2805b51b;3;27096b45-c662-4ea1-8d6e-9c070ab5fffb;2024-03-22 21:50:00;;;;;6181817
f0c16535-8661-4c6c-af9c-f04e145223f7;1;ce7db369-c3bb-4fad-b31a-18b4f981a1d1;2024-03-22 21:50:00;Яндекс;Десктоп;;42;
b55d10ba-c01a-4978-98e0-e7c57390f857;2;ce7db369-c3bb-4fad-b31a-18b4f981a1d1;2024-03-22 21:50:00;Гугл;;True;;
7bc0e6ac-24f0-468e-ae93-24e3cc3ea595;3;ce7db369-c3bb-4fad-b31a-18b4f981a1d1;2024-03-22 21:50:00;;;;;2082104
946a0c8f-206d-440b-957a-c9764d90f98c;1;a8beab87-22d4-40a2-a763-814375d60488;2024-03-22 21:50:00;Яндекс;Десктоп;;10;
2d825341-8015-4dee-8192-2c57dc556e00;1;4ac20666-8187-4db3-a478-f50a0f5616fa;2024-03-22 21:50:00;Фейсбук;Планшет;;60;
39ab62b7-7c27-4158-8647-01c3c2441689;1;d1d87b0f-cada-4976-b97e-94b87fc90808;2024-03-22 21:50:00;Инстаграмм;Телефон;;60;
443091a0-2f03-48d2-9d8c-96dcccb23ac9;2;d1d87b0f-cada-4976-b97e-94b87fc90808;2024-03-22 21:50:00;Опера;;True;;
56f630f3-a5a4-48bb-8f01-50cc7d41ad0a;3;d1d87b0f-cada-4976-b97e-94b87fc90808;2024-03-22 21:50:00;;;;;810812
a2d0778c-cebc-41d5-82e7-019549ab1da0;4;d1d87b0f-cada-4976-b97e-94b87fc90808;2024-03-22 21:50:00;;;;;3964536
bb674fc0-e794-4e42-8d73-6935d55544a0;1;c8e75992-db8d-4f9b-9d6a-d192718ebacb;2024-03-22 21:50:00;Яндекс;Десктоп;;65;
3d9fed55-36c5-46b7-9d8a-3c8c280a6a7c;1;060759e4-4ea8-495f-9e1a-4403f72ce537;2024-03-22 21:50:00;Инстаграмм;Телефон;;58;
040fa51e-0d1f-4f8d-b8f2-5b6edbd4a1d5;2;060759e4-4ea8-495f-9e1a-4403f72ce537;2024-03-22 21:50:00;Фейсбук;;True;;
e1864bfe-dc3b-46e9-96ef-9dad9d664bdc;3;060759e4-4ea8-495f-9e1a-4403f72ce537;2024-03-22 21:50:00;;;;;7189744
a4d3507a-3772-4824-bfe7-9897eefa5355;1;ac5cddf9-0141-43bf-90ff-a6cef2165ac8;2024-03-22 21:50:00;Опера;Десктоп;;61;
c74f89ba-4ed7-4434-8441-803645a64547;1;4c49e99b-7be9-462a-92f1-8b802ad11471;2024-03-22 21:50:00;Инстаграмм;Телефон;;96;
f063955f-5990-45cc-9714-a6e641903094;2;4c49e99b-7be9-462a-92f1-8b802ad11471;2024-03-22 21:50:00;Опера;;True;;
e17d56e9-aafd-4ed5-96e5-abbd1b55a53a;3;4c49e99b-7be9-462a-92f1-8b802ad11471;2024-03-22 21:50:00;;;;;4441681
35502f56-f618-4a86-9b81-732aefec5378;4;4c49e99b-7be9-462a-92f1-8b802ad11471;2024-03-22 21:50:00;;;;;1644955
32d0733e-cff0-41fe-b94d-0c1b2d52c41b;1;171e9f68-560c-483b-9d7e-5db1ad38976a;2024-03-22 21:50:00;Яндекс;Десктоп;;88;
af91f7cc-a6dd-4574-86cf-0c5bd37e622f;2;171e9f68-560c-483b-9d7e-5db1ad38976a;2024-03-22 21:50:00;Гугл;;True;;
1f9db1c2-8eb9-48ca-8a34-d75761a707c8;3;171e9f68-560c-483b-9d7e-5db1ad38976a;2024-03-22 21:50:00;;;;;931007
c480ced0-c205-4a3f-887a-aa7935ceaeca;1;3ed45247-24d5-47a2-aaf6-9708fc1c2bdb;2024-03-22 21:50:00;Яндекс;Планшет;;96;
0d7d4d20-713e-4536-bf6b-c39086478eda;2;3ed45247-24d5-47a2-aaf6-9708fc1c2bdb;2024-03-22 21:50:00;Яндекс;;False;;
31cbb118-d2e8-4106-a001-fc3a8f881aa0;1;42d97fa8-2eb5-4bb3-a1ae-088f7196c190;2024-03-22 21:50:00;Гугл;Планшет;;24;
4dee46f8-0696-4097-9763-9edc193e585c;1;a890753f-db70-4e97-9173-0578840282cb;2024-03-22 21:50:00;Фейсбук;Телефон;;29;
d1a1718f-9940-4103-b567-cdcc532739fc;2;a890753f-db70-4e97-9173-0578840282cb;2024-03-22 21:50:00;Гугл;;True;;
7c5724ce-6cb8-43ee-8096-80f147ce7a57;3;a890753f-db70-4e97-9173-0578840282cb;2024-03-22 21:50:00;;;;;5707334
3a662e18-9981-4e02-9d9c-7d24e0adda14;4;a890753f-db70-4e97-9173-0578840282cb;2024-03-22 21:50:00;;;;;954758
9cbb837d-a5e5-4ce7-aa9f-9f92b6503686;1;c77e11d3-9359-4312-b4ff-75c6cb1f44c8;2024-03-22 21:50:00;Гугл;Десктоп;;42;
cbb2468e-5639-45c1-9ddf-58dc18361d61;2;c77e11d3-9359-4312-b4ff-75c6cb1f44c8;2024-03-22 21:50:00;Инстаграмм;;True;;
8eecac82-0273-4a56-b78b-1d2e2c33f74e;3;c77e11d3-9359-4312-b4ff-75c6cb1f44c8;2024-03-22 21:50:00;;;;;5079291
5d6b3d29-e847-48be-b61d-ffa9e8008859;4;c77e11d3-9359-4312-b4ff-75c6cb1f44c8;2024-03-22 21:50:00;;;;;5653110
5d5289ba-a044-4af5-8ef1-24472de76460;1;96a69dbc-f8ff-4506-ab26-2d54b835a67b;2024-03-22 21:50:00;Фейсбук;Десктоп;;87;
54fc9aed-76a8-407e-bf48-cb25b0882f5d;2;96a69dbc-f8ff-4506-ab26-2d54b835a67b;2024-03-22 21:50:00;Фейсбук;;True;;
bec1c933-47ba-492c-8464-ad99c7bf5850;3;96a69dbc-f8ff-4506-ab26-2d54b835a67b;2024-03-22 21:50:00;;;;;1741628
181f0ed7-8488-4c3c-b68d-937ca966bc17;4;96a69dbc-f8ff-4506-ab26-2d54b835a67b;2024-03-22 21:50:00;;;;;9443265
62d3d7aa-ed86-433b-8517-c5a1f5e5abf3;1;2869a9b7-aa9c-452f-8a33-53c42aac14ad;2024-03-22 21:50:00;Опера;Телефон;;65;
